time,BTC_TR
2020-10-31,230120.56018410315
2020-11-30,327740.1267777125
2020-12-31,483711.19021040306
2021-01-31,552630.5429086298
2021-02-28,755991.0694038564
2021-03-31,979869.913793103
2021-04-30,962357.4069423329
2021-05-31,621882.9149503214
2021-06-30,584424.435889343
2021-07-31,696555.2291350081
2021-08-31,786987.4057081629
2021-09-30,729692.4335914663
2021-10-31,1023882.8343804777
2021-11-30,951616.8799045394
2021-12-31,772585.2888379112
2022-01-31,641044.540049678
2022-02-28,719654.2419004479
2022-03-31,759370.1777761545
2022-04-30,628568.2496736796
2022-05-31,530523.4920855246
2022-06-30,322215.2021576082
2022-07-31,389269.5370251314
2022-08-31,333744.52676602313
2022-09-30,323919.9115283465
2022-10-31,341514.30301480653
2022-11-30,286281.6448568082
2022-12-31,275403.63004091155
2023-01-31,385500.86522014486
2023-02-28,385765.81879505154
2023-03-31,475244.68843756145
2023-04-30,489368.1132914464
2023-05-31,453628.05430060305
2023-06-30,508075.05429573305
2023-07-31,486997.00314630807
2023-08-31,432581.1098918765
2023-09-30,449628.22187804314
2023-10-31,577273.7745616597
2023-11-30,628545.1913159947
2023-12-31,703619.3131891681
2024-01-31,709824.5134326898
2024-02-29,1023246.3641924796
2024-03-31,1187124.1965663347
2024-04-30,1010605.4360559131
2024-05-31,1122962.7102035847
2024-06-30,1046054.661435808
2024-07-31,1078177.2339762317
2024-08-31,982665.4378871998
2024-09-30,1054334.0424702899
2024-10-31,1172784.6992937848
2024-11-30,1607727.081633548
2024-12-31,1556495.5433615812
2025-01-31,1704384.0611825495
2025-02-28,1404062.9651909212
2025-03-31,1374357.4937999211
2025-04-30,1570612.2085719844
2025-05-31,1745149.4025034164
2025-06-30,1785885.0189314163
2025-07-31,1930805.6664182665
2025-08-31,1805274.1149134997
2025-09-30,1899529.0466150332
2025-10-31,1825903.9937950498
2025-11-30,1510128.369189558
2025-12-31,1458616.3006282863
2026-01-31,1311706.4250438332
2026-02-28,1116093.9218195982
2026-03-31,1136914.4673144366
2026-04-30,1271660.2688096631
2026-05-31,1276997.776817358
