Date,EFA
2002-06-25,19.38103675842285
2002-06-26,19.38445281982422
2002-06-27,19.86343002319336
2002-06-28,20.207761764526367
2002-07-01,20.04582977294922
2002-07-02,19.679344177246094
2002-07-03,19.491838455200195
2002-07-05,20.248680114746094
2002-07-08,20.233327865600586
2002-07-09,19.986169815063477
2002-07-10,19.425357818603516
2002-07-11,19.346940994262695
2002-07-12,19.082735061645508
2002-07-15,18.859437942504883
2002-07-16,18.494661331176758
2002-07-17,18.963415145874023
2002-07-18,19.038415908813477
2002-07-19,18.365108489990234
2002-07-22,17.7020320892334
2002-07-23,17.199180603027344
2002-07-24,17.81453514099121
2002-07-25,17.62533187866211
2002-07-26,17.62533187866211
2002-07-29,18.469093322753906
2002-07-30,18.35147476196289
2002-07-31,18.281585693359375
2002-08-01,17.642377853393555
2002-08-02,17.574186325073242
2002-08-05,16.977588653564453
2002-08-06,17.349184036254883
2002-08-07,17.684988021850586
2002-08-08,18.085559844970703
2002-08-09,18.256025314331055
2002-08-12,18.051467895507812
2002-08-13,17.879304885864258
2002-08-14,18.298635482788086
2002-08-15,18.443523406982422
2002-08-16,18.443523406982422
2002-08-19,18.775917053222656
2002-08-20,18.273067474365234
2002-08-21,18.733295440673828
2002-08-22,18.787851333618164
2002-08-23,18.554319381713867
2002-08-26,18.63954734802246
2002-08-27,18.80318832397461
2002-08-28,18.290109634399414
2002-08-29,18.111127853393555
2002-08-30,18.102609634399414
2002-09-03,17.39521026611328
2002-09-04,17.39862060546875
2002-09-05,17.267366409301758
2002-09-06,17.519641876220703
2002-09-09,17.44123077392578
2002-09-10,17.574186325073242
2002-09-11,17.737829208374023
2002-09-12,17.44464111328125
2002-09-13,17.015087127685547
2002-09-16,16.875314712524414
2002-09-17,16.79007911682129
2002-09-18,16.78156280517578
2002-09-19,16.491785049438477
2002-09-20,16.401439666748047
2002-09-23,15.818474769592285
2002-09-24,15.562788963317871
2002-09-25,15.954843521118164
2002-09-26,16.517345428466797
2002-09-27,16.512239456176758
2002-09-30,16.227575302124023
2002-10-01,16.624738693237305
2002-10-02,16.39632797241211
2002-10-03,16.215641021728516
2002-10-04,15.937797546386719
2002-10-07,15.545742988586426
2002-10-08,15.586650848388672
2002-10-09,15.34119701385498
2002-10-10,15.699153900146484
2002-10-11,16.270187377929688
2002-10-14,15.852564811706543
2002-10-15,16.96054458618164
2002-10-16,16.662235260009766
2002-10-17,16.90087890625
2002-10-18,16.76451873779297
2002-10-21,17.003156661987305
2002-10-22,16.808835983276367
2002-10-23,16.653717041015625
2002-10-24,16.491785049438477
2002-10-25,16.77303695678711
2002-10-28,16.849746704101562
2002-10-29,16.474740982055664
2002-10-30,16.738943099975586
2002-10-31,16.849746704101562
2002-11-01,17.11224937438965
2002-11-04,17.335552215576172
2002-11-05,17.59975814819336
2002-11-06,17.608278274536133
2002-11-07,17.30997657775879
