,TLT
2009-06-30,57.35163497924805
2009-07-31,57.68201446533203
2009-08-31,58.96882629394531
2009-09-30,60.41838455200195
2009-10-31,58.837764739990234
2009-11-30,59.55139923095703
2009-12-31,55.7724609375
2010-01-31,57.273983001708984
2010-02-28,57.077857971191406
2010-03-31,55.90355682373047
2010-04-30,57.76057052612305
2010-05-31,60.71124267578125
2010-06-30,64.23112487792969
2010-07-31,63.623268127441406
2010-08-31,68.9617691040039
2010-09-30,67.22374725341797
2010-10-31,64.21932220458984
2010-11-30,63.13449478149414
2010-12-31,60.79910659790039
2011-01-31,58.925758361816406
2011-02-28,59.89814758300781
2011-03-31,59.91571807861328
2011-04-30,61.317203521728516
2011-05-31,63.41602325439453
2011-06-30,61.94277572631836
2011-07-31,64.67731475830078
2011-08-31,70.93000793457031
2011-09-30,80.29708862304688
2011-10-31,77.22232055664062
2011-11-30,78.75834655761719
2011-12-31,81.47144317626953
2012-01-31,81.20270538330078
2012-02-29,79.09387969970703
2012-03-31,75.74349975585938
2012-04-30,79.40507507324219
2012-05-31,86.57167053222656
2012-06-30,85.1187515258789
2012-07-31,88.36804962158203
2012-08-31,87.20257568359375
2012-09-30,84.99392700195312
2012-10-31,84.5825424194336
2012-11-30,85.56302642822266
2012-12-31,83.43446350097656
2013-01-31,80.77674102783203
2013-02-28,81.7773208618164
2013-03-31,81.43433380126953
2013-04-30,85.2494888305664
2013-05-31,79.4858169555664
2013-06-30,76.88558959960938
2013-07-31,75.14952087402344
2013-08-31,74.14224243164062
2013-09-30,74.62552642822266
2013-10-31,75.69296264648438
2013-11-30,73.64676666259766
2013-12-31,72.26980590820312
2014-01-31,76.8248062133789
2014-02-28,77.22742462158203
2014-03-31,77.79288482666016
2014-04-30,79.42277526855469
2014-05-31,81.76537322998047
2014-06-30,81.55989074707031
2014-07-31,82.10160064697266
2014-08-31,85.97990417480469
2014-09-30,84.16373443603516
2014-10-31,86.53595733642578
2014-11-30,89.10377502441406
2014-12-31,92.0008544921875
2015-01-31,101.03142547607422
2015-02-28,94.82972717285156
2015-03-31,95.8655014038086
2015-04-30,92.5819091796875
2015-05-31,90.38548278808594
2015-06-30,86.70498657226562
2015-07-31,90.64659118652344
2015-08-31,90.02159881591797
2015-09-30,91.79219818115234
2015-10-31,91.41691589355469
2015-11-30,90.623779296875
2015-12-31,90.35443878173828
2016-01-31,95.38993835449219
2016-02-29,98.33368682861328
2016-03-31,98.24186706542969
2016-04-30,97.5182876586914
2016-05-31,98.30371856689453
2016-06-30,105.12029266357422
2016-07-31,107.3304672241211
2016-08-31,106.24272155761719
2016-09-30,104.64013671875
2016-10-31,100.05622100830078
2016-11-30,91.8378677368164
2016-12-31,91.41301727294922
2017-01-31,92.15734100341797
2017-02-28,93.61766052246094
2017-03-31,93.00437927246094
2017-04-30,94.46752166748047
2017-05-31,96.25096893310547
2017-06-30,97.0131607055664
2017-07-31,96.37448120117188
2017-08-31,99.65960693359375
2017-09-30,97.34461975097656
2017-10-31,97.30709838867188
2017-11-30,98.03020477294922
2017-12-31,99.80712890625
2018-01-31,96.55782318115234
2018-02-28,93.62112426757812
2018-03-31,96.29833221435547
2018-04-30,94.28754425048828
2018-05-31,96.17743682861328
2018-06-30,96.79851531982422
2018-07-31,95.40763854980469
2018-08-31,96.6594467163086
2018-09-30,93.89082336425781
2018-10-31,91.13933563232422
2018-11-30,92.76814270019531
2018-12-31,98.1983642578125
2019-01-31,98.57011413574219
2019-02-28,97.21337890625
2019-03-31,102.62975311279297
2019-04-30,100.58629608154297
2019-05-31,107.4656753540039
2019-06-30,108.48673248291016
2019-07-31,108.76500701904297
2019-08-31,120.78254699707031
2019-09-30,117.54570770263672
2019-10-31,116.23722839355469
2019-11-30,115.76392364501953
2019-12-31,112.06241607666016
2020-01-31,120.68132781982422
2020-02-29,128.67820739746094
2020-03-31,136.8836669921875
2020-04-30,138.5521240234375
2020-05-31,136.1110076904297
2020-06-30,136.56919860839844
2020-07-31,142.62625122070312
2020-08-31,135.42849731445312
2020-09-30,136.4759521484375
2020-10-31,131.85592651367188
2020-11-30,134.0499267578125
2020-12-31,132.40423583984375
2021-01-31,127.59434509277344
2021-02-28,120.27935791015625
2021-03-31,113.97044372558594
2021-04-30,116.8140869140625
2021-05-31,116.81663513183594
2021-06-30,121.97883605957031
2021-07-31,126.51240539550781
2021-08-31,126.0820083618164
2021-09-30,122.41678619384766
2021-10-31,125.43440246582031
2021-11-30,128.9108428955078
2021-12-31,126.3147964477539
2022-01-31,121.3709487915039
2022-02-28,119.38898468017578
2022-03-31,112.88899230957031
2022-04-30,102.25048828125
2022-05-31,99.94647216796875
2022-06-30,98.67259216308594
2022-07-31,101.0713119506836
2022-08-31,96.46944427490234
2022-09-30,88.52507781982422
2022-10-31,83.24506378173828
2022-11-30,89.197998046875
2022-12-31,86.86094665527344
2023-01-31,93.50031280517578
2023-02-28,88.96502685546875
2023-03-31,93.27032470703125
2023-04-30,93.58594512939453
2023-05-31,90.76403045654297
2023-06-30,90.96110534667969
2023-07-31,88.64680480957031
2023-08-31,85.8614501953125
2023-09-30,79.03448486328125
2023-10-31,74.7166748046875
2023-11-30,82.1314926147461
2023-12-31,89.26521301269531
2024-01-31,87.26110076904297
2024-02-29,85.29579162597656
2024-03-31,85.96356964111328
2024-04-30,80.41419982910156
2024-05-31,82.73575592041016
2024-06-30,84.23918151855469
2024-07-31,87.29702758789062
2024-08-31,89.14004516601562
2024-09-30,90.92234802246094
2024-10-31,85.96263885498047
2024-11-30,87.67090606689453
2024-12-31,82.07660675048828
2025-01-31,82.4807357788086
2025-02-28,87.17977905273438
2025-03-31,86.12953186035156
2025-04-30,84.95775604248047
2025-05-31,82.23009490966797
2025-06-30,84.42072296142578
2025-07-31,83.4586410522461
2025-08-31,83.46923065185547
2025-09-30,86.46656799316406
2025-10-31,87.66075897216797
2025-11-30,87.89949035644531
2025-12-31,85.56259155273438
2026-01-31,85.53312683105469
2026-02-28,89.49652862548828
2026-03-31,85.71077728271484
2026-04-30,84.99110412597656
2026-05-31,85.4444351196289
2026-06-30,86.10199737548828
2026-07-31,85.4198989868164
